record_id,q_idx,n_premises_used,query,premises,options,answer,answer_label,explanation,premises_fol,premises_used,reasoning,_target_split
SYN_larkspur_b_UNC_MISSING,0,4,Do the premises establish that the Larkspur Bridge is traffic-approved?,"[""If a bridge has a current load rating and a passed deck inspection, then it is service-cleared."", ""If a bridge is service-cleared and has a seismic retrofit, then it is traffic-approved."", ""The Larkspur Bridge has a current load rating."", ""The Larkspur Bridge has a passed deck inspection."", ""The Larkspur Bridge has a painted railing.""]","[""Yes"", ""No"", ""Uncertain""]",Uncertain,Uncertain,"By premise 2 (the Larkspur Bridge has a current load rating) and premise 3 (the Larkspur Bridge has a passed deck inspection), premise 0 gives that the Larkspur Bridge is service-cleared. Premise 1 makes being traffic-approved also require a seismic retrofit, but no premise states whether the Larkspur Bridge has a seismic retrofit, so it is unknown. Therefore being traffic-approved can be neither proven nor disproven; the answer is Uncertain.","[""∀x ((current_load_rating(x) ∧ passed_deck_inspection(x)) → service_cleared(x))"", ""∀x ((service_cleared(x) ∧ seismic_retrofit(x)) → traffic_approved(x))"", ""current_load_rating(larkspur_bridge)"", ""passed_deck_inspection(larkspur_bridge)"", ""painted_railing(larkspur_bridge)""]","[0, 1, 2, 3]","{""type"": ""fol"", ""steps"": [""Rule: ∀x ((current_load_rating(x) ∧ passed_deck_inspection(x)) → service_cleared(x))"", ""Rule: ∀x ((service_cleared(x) ∧ seismic_retrofit(x)) → traffic_approved(x))"", ""Fact: current_load_rating(larkspur_bridge)"", ""Fact: passed_deck_inspection(larkspur_bridge)"", ""Derive: current_load_rating(larkspur_bridge) ∧ passed_deck_inspection(larkspur_bridge) ⟹ service_cleared(larkspur_bridge) [modus ponens]"", ""Derive: seismic_retrofit(larkspur_bridge) is not asserted by any premise ⟹ Unknown"", ""Conclusion: traffic_approved(larkspur_bridge) can be neither proven nor refuted ⟹ Uncertain""]}",train
SYN_larkspur_b_UNC_EPIST,0,1,Does the Larkspur Bridge have a heritage listing?,"[""If a bridge has a current load rating and a passed deck inspection, then it is service-cleared."", ""The Larkspur Bridge has a current load rating."", ""The Larkspur Bridge has a passed deck inspection."", ""No premise states whether the Larkspur Bridge has a heritage listing.""]","[""Yes"", ""No"", ""Uncertain""]",Uncertain,Uncertain,"The question asks whether the Larkspur Bridge has a heritage listing. No rule concludes it and no fact asserts it; premise 3 states that no premise establishes whether the Larkspur Bridge has a heritage listing, so it is unknown. It can be neither proven nor disproven; the answer is Uncertain.","[""∀x ((current_load_rating(x) ∧ passed_deck_inspection(x)) → service_cleared(x))"", ""current_load_rating(larkspur_bridge)"", ""passed_deck_inspection(larkspur_bridge)"", ""[UNCERTAIN] No premise states whether the Larkspur Bridge has a heritage listing.""]",[3],"{""type"": ""fol"", ""steps"": [""Fact: premise 3 states heritage_listing(larkspur_bridge) is unknown"", ""Derive: no rule or fact establishes heritage_listing(larkspur_bridge) ⟹ Unknown"", ""Conclusion: heritage_listing(larkspur_bridge) is undetermined ⟹ Uncertain""]}",train
SYN_larkspur_b_NO_BLOCKED,0,3,Can the Larkspur Bridge reopen to traffic?,"[""If a bridge has a current load rating and a passed deck inspection, then it can reopen to traffic."", ""The Larkspur Bridge has a current load rating."", ""The Larkspur Bridge lacks a passed deck inspection.""]","[""Yes"", ""No"", ""Uncertain""]",No,No,"Premise 0 requires both a current load rating and a passed deck inspection to reopen to traffic. By premise 1, the Larkspur Bridge has a current load rating, but premise 2 states the Larkspur Bridge lacks a passed deck inspection. A required condition is explicitly false, so the Larkspur Bridge cannot reopen to traffic; the answer is No.","[""∀x ((current_load_rating(x) ∧ passed_deck_inspection(x)) → can_reopen_to_traffic(x))"", ""current_load_rating(larkspur_bridge)"", ""¬passed_deck_inspection(larkspur_bridge)""]","[0, 1, 2]","{""type"": ""fol"", ""steps"": [""Rule: ∀x ((current_load_rating(x) ∧ passed_deck_inspection(x)) → can_reopen_to_traffic(x))"", ""Fact: current_load_rating(larkspur_bridge)"", ""Fact: ¬passed_deck_inspection(larkspur_bridge)"", ""Derive: ¬passed_deck_inspection(larkspur_bridge) makes the antecedent false ⟹ can_reopen_to_traffic(larkspur_bridge) not derivable"", ""Conclusion: ¬can_reopen_to_traffic(larkspur_bridge) ⟹ No""]}",train
SYN_larkspur_b_NO_CONTRA,0,3,Do the premises establish that the Larkspur Bridge should reopen to traffic?,"[""If a bridge has a current load rating, then it requires a structural hold."", ""If a bridge requires a structural hold, then it should not reopen to traffic without review."", ""The Larkspur Bridge has a current load rating.""]","[""Yes"", ""No"", ""Uncertain""]",No,No,"By premise 2 (the Larkspur Bridge has a current load rating) and premise 0, the Larkspur Bridge requires a structural hold. Premise 1 then states the Larkspur Bridge should not reopen to traffic without review. Therefore the premises do not establish that the Larkspur Bridge should reopen to traffic; the answer is No.","[""∀x (current_load_rating(x) → requires_structural_hold(x))"", ""∀x (requires_structural_hold(x) → ¬(can_reopen_to_traffic(x) ∧ ¬reviewed(x)))"", ""current_load_rating(larkspur_bridge)""]","[0, 1, 2]","{""type"": ""fol"", ""steps"": [""Rule: ∀x (current_load_rating(x) → requires_structural_hold(x))"", ""Rule: ∀x (requires_structural_hold(x) → ¬(can_reopen_to_traffic(x) ∧ ¬reviewed(x)))"", ""Fact: current_load_rating(larkspur_bridge)"", ""Derive: current_load_rating(larkspur_bridge) ⟹ requires_structural_hold(larkspur_bridge) [modus ponens]"", ""Derive: requires_structural_hold(larkspur_bridge) ⟹ ¬(can_reopen_to_traffic(larkspur_bridge) ∧ ¬reviewed(larkspur_bridge)) [modus ponens]"", ""Conclusion: the premises do not establish can_reopen_to_traffic(larkspur_bridge) ⟹ No""]}",train
SYN_larkspur_b_NO_COUNTER,0,1,Are all bridges service-cleared?,"[""Every bridge has a current load rating."", ""There exists a bridge that is not service-cleared."", ""If a bridge has a current load rating and a passed deck inspection, then it is service-cleared.""]","[""Yes"", ""No"", ""Uncertain""]",No,No,Premise 1 states there exists a bridge that is not service-cleared. This is a direct counterexample to the claim that all bridges are service-cleared; the answer is No.,"[""∀x current_load_rating(x)"", ""∃x ¬service_cleared(x)"", ""∀x ((current_load_rating(x) ∧ passed_deck_inspection(x)) → service_cleared(x))""]",[1],"{""type"": ""fol"", ""steps"": [""Fact: ∃x ¬service_cleared(x)"", ""Derive: a bridge that is not service_cleared exists ⟹ ¬∀x service_cleared(x)"", ""Conclusion: not all bridges are service_cleared ⟹ No""]}",train
SYN_applicant__UNC_MISSING,0,4,Do the premises establish that applicant Devon Park is loan-eligible?,"[""If a applicant has a stable income record and a clean credit history, then it is pre-qualified."", ""If a applicant is pre-qualified and has a co-signer, then it is loan-eligible."", ""Applicant Devon Park has a stable income record."", ""Applicant Devon Park has a clean credit history."", ""Applicant Devon Park has a savings account.""]","[""Yes"", ""No"", ""Uncertain""]",Uncertain,Uncertain,"By premise 2 (applicant Devon Park has a stable income record) and premise 3 (applicant Devon Park has a clean credit history), premise 0 gives that applicant Devon Park is pre-qualified. Premise 1 makes being loan-eligible also require a co-signer, but no premise states whether applicant Devon Park has a co-signer, so it is unknown. Therefore being loan-eligible can be neither proven nor disproven; the answer is Uncertain.","[""∀x ((stable_income_record(x) ∧ clean_credit_history(x)) → pre_qualified(x))"", ""∀x ((pre_qualified(x) ∧ co_signer(x)) → loan_eligible(x))"", ""stable_income_record(applicant_devon_park)"", ""clean_credit_history(applicant_devon_park)"", ""savings_account(applicant_devon_park)""]","[0, 1, 2, 3]","{""type"": ""fol"", ""steps"": [""Rule: ∀x ((stable_income_record(x) ∧ clean_credit_history(x)) → pre_qualified(x))"", ""Rule: ∀x ((pre_qualified(x) ∧ co_signer(x)) → loan_eligible(x))"", ""Fact: stable_income_record(applicant_devon_park)"", ""Fact: clean_credit_history(applicant_devon_park)"", ""Derive: stable_income_record(applicant_devon_park) ∧ clean_credit_history(applicant_devon_park) ⟹ pre_qualified(applicant_devon_park) [modus ponens]"", ""Derive: co_signer(applicant_devon_park) is not asserted by any premise ⟹ Unknown"", ""Conclusion: loan_eligible(applicant_devon_park) can be neither proven nor refuted ⟹ Uncertain""]}",train
SYN_applicant__UNC_EPIST,0,1,Does applicant Devon Park have a prior bankruptcy?,"[""If a applicant has a stable income record and a clean credit history, then it is pre-qualified."", ""Applicant Devon Park has a stable income record."", ""Applicant Devon Park has a clean credit history."", ""No premise states whether applicant Devon Park has a prior bankruptcy.""]","[""Yes"", ""No"", ""Uncertain""]",Uncertain,Uncertain,"The question asks whether applicant Devon Park has a prior bankruptcy. No rule concludes it and no fact asserts it; premise 3 states that no premise establishes whether applicant Devon Park has a prior bankruptcy, so it is unknown. It can be neither proven nor disproven; the answer is Uncertain.","[""∀x ((stable_income_record(x) ∧ clean_credit_history(x)) → pre_qualified(x))"", ""stable_income_record(applicant_devon_park)"", ""clean_credit_history(applicant_devon_park)"", ""[UNCERTAIN] No premise states whether applicant Devon Park has a prior bankruptcy.""]",[3],"{""type"": ""fol"", ""steps"": [""Fact: premise 3 states prior_bankruptcy(applicant_devon_park) is unknown"", ""Derive: no rule or fact establishes prior_bankruptcy(applicant_devon_park) ⟹ Unknown"", ""Conclusion: prior_bankruptcy(applicant_devon_park) is undetermined ⟹ Uncertain""]}",train
SYN_applicant__NO_BLOCKED,0,3,Can applicant Devon Park receive the loan?,"[""If a applicant has a stable income record and a clean credit history, then it can receive the loan."", ""Applicant Devon Park has a stable income record."", ""Applicant Devon Park lacks a clean credit history.""]","[""Yes"", ""No"", ""Uncertain""]",No,No,"Premise 0 requires both a stable income record and a clean credit history to receive the loan. By premise 1, applicant Devon Park has a stable income record, but premise 2 states applicant Devon Park lacks a clean credit history. A required condition is explicitly false, so applicant Devon Park cannot receive the loan; the answer is No.","[""∀x ((stable_income_record(x) ∧ clean_credit_history(x)) → can_receive_the_loan(x))"", ""stable_income_record(applicant_devon_park)"", ""¬clean_credit_history(applicant_devon_park)""]","[0, 1, 2]","{""type"": ""fol"", ""steps"": [""Rule: ∀x ((stable_income_record(x) ∧ clean_credit_history(x)) → can_receive_the_loan(x))"", ""Fact: stable_income_record(applicant_devon_park)"", ""Fact: ¬clean_credit_history(applicant_devon_park)"", ""Derive: ¬clean_credit_history(applicant_devon_park) makes the antecedent false ⟹ can_receive_the_loan(applicant_devon_park) not derivable"", ""Conclusion: ¬can_receive_the_loan(applicant_devon_park) ⟹ No""]}",train
SYN_applicant__NO_CONTRA,0,3,Do the premises establish that applicant Devon Park should receive the loan?,"[""If a applicant has a stable income record, then it requires a manual review."", ""If a applicant requires a manual review, then it should not receive the loan without review."", ""Applicant Devon Park has a stable income record.""]","[""Yes"", ""No"", ""Uncertain""]",No,No,"By premise 2 (applicant Devon Park has a stable income record) and premise 0, applicant Devon Park requires a manual review. Premise 1 then states applicant Devon Park should not receive the loan without review. Therefore the premises do not establish that applicant Devon Park should receive the loan; the answer is No.","[""∀x (stable_income_record(x) → requires_manual_review(x))"", ""∀x (requires_manual_review(x) → ¬(can_receive_the_loan(x) ∧ ¬reviewed(x)))"", ""stable_income_record(applicant_devon_park)""]","[0, 1, 2]","{""type"": ""fol"", ""steps"": [""Rule: ∀x (stable_income_record(x) → requires_manual_review(x))"", ""Rule: ∀x (requires_manual_review(x) → ¬(can_receive_the_loan(x) ∧ ¬reviewed(x)))"", ""Fact: stable_income_record(applicant_devon_park)"", ""Derive: stable_income_record(applicant_devon_park) ⟹ requires_manual_review(applicant_devon_park) [modus ponens]"", ""Derive: requires_manual_review(applicant_devon_park) ⟹ ¬(can_receive_the_loan(applicant_devon_park) ∧ ¬reviewed(applicant_devon_park)) [modus ponens]"", ""Conclusion: the premises do not establish can_receive_the_loan(applicant_devon_park) ⟹ No""]}",train
SYN_applicant__NO_COUNTER,0,1,Are all applicants pre-qualified?,"[""Every applicant has a stable income record."", ""There exists a applicant that is not pre-qualified."", ""If a applicant has a stable income record and a clean credit history, then it is pre-qualified.""]","[""Yes"", ""No"", ""Uncertain""]",No,No,Premise 1 states there exists a applicant that is not pre-qualified. This is a direct counterexample to the claim that all applicants are pre-qualified; the answer is No.,"[""∀x stable_income_record(x)"", ""∃x ¬pre_qualified(x)"", ""∀x ((stable_income_record(x) ∧ clean_credit_history(x)) → pre_qualified(x))""]",[1],"{""type"": ""fol"", ""steps"": [""Fact: ∃x ¬pre_qualified(x)"", ""Derive: a applicant that is not pre_qualified exists ⟹ ¬∀x pre_qualified(x)"", ""Conclusion: not all applicants are pre_qualified ⟹ No""]}",train
SYN_node_helix_UNC_MISSING,0,4,Do the premises establish that node Helix-9 is production-listed?,"[""If a node has a verified checksum and a redundant power feed, then it is cluster-ready."", ""If a node is cluster-ready and has a current firmware, then it is production-listed."", ""Node Helix-9 has a verified checksum."", ""Node Helix-9 has a redundant power feed."", ""Node Helix-9 has a spare disk.""]","[""Yes"", ""No"", ""Uncertain""]",Uncertain,Uncertain,"By premise 2 (node Helix-9 has a verified checksum) and premise 3 (node Helix-9 has a redundant power feed), premise 0 gives that node Helix-9 is cluster-ready. Premise 1 makes being production-listed also require a current firmware, but no premise states whether node Helix-9 has a current firmware, so it is unknown. Therefore being production-listed can be neither proven nor disproven; the answer is Uncertain.","[""∀x ((verified_checksum(x) ∧ redundant_power_feed(x)) → cluster_ready(x))"", ""∀x ((cluster_ready(x) ∧ current_firmware(x)) → production_listed(x))"", ""verified_checksum(node_helix_9)"", ""redundant_power_feed(node_helix_9)"", ""spare_disk(node_helix_9)""]","[0, 1, 2, 3]","{""type"": ""fol"", ""steps"": [""Rule: ∀x ((verified_checksum(x) ∧ redundant_power_feed(x)) → cluster_ready(x))"", ""Rule: ∀x ((cluster_ready(x) ∧ current_firmware(x)) → production_listed(x))"", ""Fact: verified_checksum(node_helix_9)"", ""Fact: redundant_power_feed(node_helix_9)"", ""Derive: verified_checksum(node_helix_9) ∧ redundant_power_feed(node_helix_9) ⟹ cluster_ready(node_helix_9) [modus ponens]"", ""Derive: current_firmware(node_helix_9) is not asserted by any premise ⟹ Unknown"", ""Conclusion: production_listed(node_helix_9) can be neither proven nor refuted ⟹ Uncertain""]}",train
SYN_node_helix_UNC_EPIST,0,1,Does node Helix-9 have a vendor warranty?,"[""If a node has a verified checksum and a redundant power feed, then it is cluster-ready."", ""Node Helix-9 has a verified checksum."", ""Node Helix-9 has a redundant power feed."", ""No premise states whether node Helix-9 has a vendor warranty.""]","[""Yes"", ""No"", ""Uncertain""]",Uncertain,Uncertain,"The question asks whether node Helix-9 has a vendor warranty. No rule concludes it and no fact asserts it; premise 3 states that no premise establishes whether node Helix-9 has a vendor warranty, so it is unknown. It can be neither proven nor disproven; the answer is Uncertain.","[""∀x ((verified_checksum(x) ∧ redundant_power_feed(x)) → cluster_ready(x))"", ""verified_checksum(node_helix_9)"", ""redundant_power_feed(node_helix_9)"", ""[UNCERTAIN] No premise states whether node Helix-9 has a vendor warranty.""]",[3],"{""type"": ""fol"", ""steps"": [""Fact: premise 3 states vendor_warranty(node_helix_9) is unknown"", ""Derive: no rule or fact establishes vendor_warranty(node_helix_9) ⟹ Unknown"", ""Conclusion: vendor_warranty(node_helix_9) is undetermined ⟹ Uncertain""]}",train
SYN_node_helix_NO_BLOCKED,0,3,Can node Helix-9 join the cluster?,"[""If a node has a verified checksum and a redundant power feed, then it can join the cluster."", ""Node Helix-9 has a verified checksum."", ""Node Helix-9 lacks a redundant power feed.""]","[""Yes"", ""No"", ""Uncertain""]",No,No,"Premise 0 requires both a verified checksum and a redundant power feed to join the cluster. By premise 1, node Helix-9 has a verified checksum, but premise 2 states node Helix-9 lacks a redundant power feed. A required condition is explicitly false, so node Helix-9 cannot join the cluster; the answer is No.","[""∀x ((verified_checksum(x) ∧ redundant_power_feed(x)) → can_join_the_cluster(x))"", ""verified_checksum(node_helix_9)"", ""¬redundant_power_feed(node_helix_9)""]","[0, 1, 2]","{""type"": ""fol"", ""steps"": [""Rule: ∀x ((verified_checksum(x) ∧ redundant_power_feed(x)) → can_join_the_cluster(x))"", ""Fact: verified_checksum(node_helix_9)"", ""Fact: ¬redundant_power_feed(node_helix_9)"", ""Derive: ¬redundant_power_feed(node_helix_9) makes the antecedent false ⟹ can_join_the_cluster(node_helix_9) not derivable"", ""Conclusion: ¬can_join_the_cluster(node_helix_9) ⟹ No""]}",train
SYN_node_helix_NO_CONTRA,0,3,Do the premises establish that node Helix-9 should join the cluster?,"[""If a node has a verified checksum, then it requires a maintenance freeze."", ""If a node requires a maintenance freeze, then it should not join the cluster without review."", ""Node Helix-9 has a verified checksum.""]","[""Yes"", ""No"", ""Uncertain""]",No,No,"By premise 2 (node Helix-9 has a verified checksum) and premise 0, node Helix-9 requires a maintenance freeze. Premise 1 then states node Helix-9 should not join the cluster without review. Therefore the premises do not establish that node Helix-9 should join the cluster; the answer is No.","[""∀x (verified_checksum(x) → requires_maintenance_freeze(x))"", ""∀x (requires_maintenance_freeze(x) → ¬(can_join_the_cluster(x) ∧ ¬reviewed(x)))"", ""verified_checksum(node_helix_9)""]","[0, 1, 2]","{""type"": ""fol"", ""steps"": [""Rule: ∀x (verified_checksum(x) → requires_maintenance_freeze(x))"", ""Rule: ∀x (requires_maintenance_freeze(x) → ¬(can_join_the_cluster(x) ∧ ¬reviewed(x)))"", ""Fact: verified_checksum(node_helix_9)"", ""Derive: verified_checksum(node_helix_9) ⟹ requires_maintenance_freeze(node_helix_9) [modus ponens]"", ""Derive: requires_maintenance_freeze(node_helix_9) ⟹ ¬(can_join_the_cluster(node_helix_9) ∧ ¬reviewed(node_helix_9)) [modus ponens]"", ""Conclusion: the premises do not establish can_join_the_cluster(node_helix_9) ⟹ No""]}",train
