id,question,original_answer,original_unit,verdict,llm_answer,llm_unit,reason
DT092,"Given three point charges q1 = -2 μC, q2 = 3 μC, and q3 = -1 μC, placed at three collinear points A, B, and C. Point M is to the left of A and point N is to the right of C, such that MA = AB = BC = CN = 10 cm. Calculate the magnitude of the electric field strength at point M.",1.23 . 10^6,V/m,incorrect,1.44e6,V/m,"At M, the fields from q1 and q3 point right and from q2 point left; using distances 0.10 m, 0.20 m, and 0.30 m gives E = k(2e-6/0.1^2 - 3e-6/0.2^2 + 1e-6/0.3^2) ≈ 1.44×10^6 V/m, not 1.23×10^6 V/m."
LD140,"Three electric charges, q1 = q2 = q3 = -5 × 10^-7 C, are placed at the three vertices of an equilateral triangle with side length 15 cm in the air. Calculate the net electric force acting on q3.",0.173,N,correct,0.173,N,
LD021,"A charge q = -1 μC is attracted by two +1 μC charges. These two positive charges are located on opposite sides of q, along the same straight line passing through q, at distances of 5 cm and 12 cm respectively from q. Calculate the magnitude of the net electric force acting on q.",2.98,N,incorrect,0.288,N,"The forces from the two +1 μC charges on the negative charge act in opposite directions, so the net force is the difference: kqQ(1/0.05^2 - 1/0.12^2) ≈ 0.288 N, not 2.98 N."
CH230,"Circuit AB consists of a resistor R1 = 25 Ω connected in series with a segment MB. Segment MB contains a resistor R2 and an inductor L. The circuit satisfies the condition LCω² = 1, and the voltage across segment AM (uAM) is 90 degrees out of phase with the voltage across segment MB (uMB). When an RMS voltage U = 100 V is applied across AB, the total power consumed by the circuit is 125.0 W. What is the value of R2?",55.0,Ω,correct,55.0,Ω,
CH145,"An RLC series circuit is connected to an AC power source with an RMS voltage U = 150 V. At resonance, the RMS voltages across the R-C combination and the C-L combination are equal, and both are 180 V. Calculate the RMS voltage across the capacitor C.",99.5,V,correct,99.5,V,
CH073,What inductance L is required for a 100 μF capacitor to resonate at 50 Hz?,101.3,mH,correct,101.3,mH,
LD280,"Two charges, q1 = +2 × 10^-7 C and q2 = -2 × 10^-7 C, are placed at two points A and B, 8 cm apart. A charge q3 = +2 × 10^-7 C is placed at the midpoint of AB. Calculate the electric force acting on q3.",0.45,N,incorrect,0,N,"The forces on q3 from q1 and q2 have equal magnitudes because q3 is at the midpoint, but they act in opposite directions, so they cancel."
LD218,"Two electric charges q1 = +3 × 10^-7 C and q2 = -3 × 10^-7 C are placed at two points A and B, 10 cm apart. A charge q3 = -3 × 10^-7 C is placed at the midpoint of AB. Calculate the electric force acting on q3.",0.648,N,correct,0.648,N,
DDT381,A solenoid is 0.5 m long and has 1500 turns. Calculate the number of turns per unit length.,3000,turns/m,correct,3000,turns/m,
LD038,"At the three vertices of right-angled triangle ABC (right-angled at A), with AB = 30 cm, AC = 40 cm, and BC = 50 cm, charges q1 = q2 = q3 = 10^-9 C are placed. Determine the magnitude of the net electric force acting on a charge q = 10^-9 C placed at point H, which is the foot of the altitude from A.",2.45 × 10^-7,N,incorrect,1.80e-7,N,"Using H as the foot of the altitude to BC, BH=24 cm and CH=16 cm, so the forces from the charges at B and C on q are opposite along BC and differ by kq^2(1/0.16^2 - 1/0.24^2) = 1.56e-7 N; the force from A is perpendicular to BC with magnitude kq^2/0.12^2 = 6.25e-7 N, giving net magnitude sqrt((6.25e-7)^2+(1.56e-7)^2) ≈ 6.44e-7 N, not 2.45e-7 N."
