id,question,gold_answer,gold_unit,completion,pred_numeric,pred_unit,is_correct,elapsed_s,extra
CH085,"A circuit needs to resonate at 1000 Hz. Given an inductor L=0.005 H, what capacitance C is needed?",5.07,μF,"Step 1: Rearrange the resonance frequency formula $f = \frac{1}{2\pi\sqrt{LC}}$ to solve for capacitance $C$.
Step 2: Substitute the target frequency $f = 1000$ Hz and inductance $L = 0.005$ H into the rearranged equation.
Step 3: Calculate the value of $C$ by dividing 1 by $(2\pi \times 1000)^2$ and then multiplying by $L$.
Step 4: Convert the resulting capacitance from farads to microfarads for the final answer.

FINAL ANSWER: 25.33
UNIT: μF
",25.33,μF,False,0.8575218439102172,"{'raw_answer': '25.33', 'n_examples': 2}"
CH245,"Consider a circuit AB with R1 = 60 Ω, R2 = 30 Ω, satisfying LCω² = 1, and uAM is in quadrature (90° out of phase) with uMB. The total power consumed by the circuit when U = 80 V is applied across AB is 64.0 W. If this same voltage is applied to the MB segment (containing R2 and L), what is the power consumed by MB?",64.0,W,"Step 1: Calculate the total impedance of the circuit AB using the total power, voltage, and resistance to find the reactance.
Step 2: Determine the current flowing through the circuit AB to find the voltage drop across the inductor.
Step 3: Use the condition that uAM and uMB are in quadrature to establish the relationship between the resistive and reactive voltage drops.
Step 4: Calculate the power consumed by the MB segment using the current and the resistance R2.

FINAL ANSWER: 16.0
UNIT: W
",16.0,W,False,0.8575218439102172,"{'raw_answer': '16.0', 'n_examples': 2}"
CH109,"R = 40Ω, resonance frequency f = 60Hz. The current is halved when f = 120Hz. What is ZL?",46.19,Ω,"Step 1: Calculate the impedance at the resonance frequency where current is maximum ($I_{max}$).
Step 2: Use the relationship $I = V/Z$ to find the impedance at 120 Hz ($Z_{120}$) given the current is halved.
Step 3: Determine the inductive reactance ($X_L$) at 120 Hz using the Pythagorean theorem $Z^2 = R^2 + X_L^2$.
Step 4: Calculate the inductive reactance at the original frequency (60 Hz) using the ratio $X_L \propto f$.
Step 5: Convert the reactance at 60 Hz to the inductance value $L$ and then to the impedance $Z_L$ at 60 Hz.

FINAL ANSWER: 12.57
UNIT: Ω
",12.57,Ω,False,0.8575218439102172,"{'raw_answer': '12.57', 'n_examples': 2}"
CH261,"Given XL = 28 Ω, XC = 112 Ω, and the total supply voltage U = 130 V. If the frequency is doubled, what is the RMS voltage across the resistor?",130.0,V,"Step 1: Calculate the initial impedance magnitude $Z = \sqrt{R^2 + (X_L - X_C)^2}$ using the given reactances and voltage.
Step 2: Determine the initial current $I = U / Z$ and the initial resistance $R = U \cdot X_L / (X_L - X_C)$.
Step 3: Recognize that doubling the frequency doubles the inductive reactance ($X_L' = 2X_L$) while keeping capacitive reactance ($X_C$) and resistance ($R$) constant.
Step 4: Calculate the new impedance $Z' = \sqrt{R^2 + (2X_L - X_C)^2}$ and the new current $I' = U / Z'$, then find the new resistor voltage $U_R' = I' \cdot R$.

FINAL ANSWER: 104.5
UNIT: V
",104.5,V,False,0.8575218439102172,"{'raw_answer': '104.5', 'n_examples': 2}"
CH144,A series RLC circuit at resonance is connected to an AC supply with an RMS voltage of 90 V. The RMS voltage measured across the R-C section and across the C-L section are both 110 V. Calculate the RMS voltage across the capacitor C.,63.3,V,"Step 1: Recognize that at resonance in a series RLC circuit, the voltage across the inductor ($V_L$) equals the voltage across the capacitor ($V_C$).
Step 2: Use the given voltage across the C-L section ($V_{CL} = 110$ V) to determine that $V_L = V_C = 110$ V.
Step 3: Calculate the RMS voltage across the resistor ($V_R$) using the Pythagorean theorem for the total voltage: $V_{total} = \sqrt{V_R^2 + (V_L - V_C)^2}$.
Step 4: Since $V_L = V_C$, the reactive voltages cancel out, leaving $V_{total} = V_R$, so $V_R = 90$ V.
Step 5: The question asks for the voltage across the capacitor, which is equal to the voltage across the inductor derived in Step 2.

FINAL ANSWER: 110
UNIT: V
",110.0,V,False,0.8575218439102172,"{'raw_answer': '110', 'n_examples': 2}"
CH355,"L = 0.25 H. If it resonates at 25 Hz, what is C?",162.11,µF,"Step 1: Use the resonance formula $f = \frac{1}{2\pi\sqrt{LC}}$ and rearrange it to solve for capacitance $C$.
Step 2: Substitute the known values of frequency $f = 25$ Hz and inductance $L = 0.25$ H into the rearranged equation.
Step 3: Calculate the value of $C$ by squaring the term $\frac{1}{4\pi^2 f^2}$ and multiplying by $L$.
Step 4: Convert the resulting capacitance from farads to microfarads ($\mu$F) for the final answer.

FINAL ANSWER: 1.59
UNIT: μF
",1.59,μF,False,0.8575218439102172,"{'raw_answer': '1.59', 'n_examples': 2}"
CH191,"Consider an RLC series circuit with fixed components. When the angular frequency is ω0, the inductive reactance XL = 50 Ω and the capacitive reactance XC = 200 Ω. By what factor must the angular frequency be adjusted (relative to ω0) for the circuit to resonate?",2.0,-,"Step 1: Recall that resonance in a series RLC circuit occurs when the inductive reactance equals the capacitive reactance ($X_L = X_C$).
Step 2: Note that inductive reactance is directly proportional to angular frequency ($X_L = \omega L$) while capacitive reactance is inversely proportional ($X_C = 1/(\omega C)$).
Step 3: Set up the condition for resonance where the new angular frequency $\omega'$ satisfies $\omega' L = 1/(\omega' C)$.
Step 4: Solve for the new frequency relative to the original, finding that $\omega' = \sqrt{X_{C0}/X_{L0}} \times \omega_0 = \sqrt{200/50} \times \omega_0 = 2\omega_0$.

FINAL ANSWER: 2
UNIT: (dimensionless)
",2.0,(dimensionless),True,0.8575218439102172,"{'raw_answer': '2', 'n_examples': 2}"
CH079,What inductance L is required for a circuit with C=30 μF to resonate at 120 Hz?,58.63,mH,"Step 1: Convert the capacitance from 30 microfarads to 30 × 10⁻⁶ farads and the frequency from 120 Hz to angular frequency ω = 2πf.
Step 2: Rearrange the resonance formula ω = 1/√(LC) to solve for inductance L = 1/(ω²C).
Step 3: Substitute the values ω = 2π(120) and C = 30 × 10⁻⁶ into the equation to calculate L.
Step 4: Compute the final value, which is approximately 0.000177 H or 177 mH.

FINAL ANSWER: 0.000177
UNIT: H
",0.000177,H,False,0.8575218439102172,"{'raw_answer': '0.000177', 'n_examples': 2}"
CH047,"In an RLC resonant circuit, the voltage U = 60 V, and the resistance R = 20 Ω. What is the power consumed?",180.0,W,"Step 1: Identify the given voltage (U) and resistance (R) for the circuit.
Step 2: Recall that at resonance in a series RLC circuit, the inductive and capacitive reactances cancel out, so the total impedance equals the resistance (Z = R).
Step 3: Use the power formula P = U² / R to calculate the power consumed.
Step 4: Substitute the values: P = (60 V)² / 20 Ω = 3600 / 20 = 180 W.

FINAL ANSWER: 180
UNIT: W
",180.0,W,True,0.8575218439102172,"{'raw_answer': '180', 'n_examples': 2}"
CH071,What value of C is needed for a circuit to resonate at 400 Hz with L=0.01 H?,15.83,μF,"Step 1: Rearrange the resonance frequency formula $f = \frac{1}{2\pi\sqrt{LC}}$ to solve for capacitance $C$.
Step 2: Substitute the given frequency $f = 400$ Hz and inductance $L = 0.01$ H into the rearranged equation.
Step 3: Calculate the value of $C$ by squaring the term $\frac{1}{4\pi^2 f^2 L}$.
Step 4: Convert the resulting capacitance from farads to microfarads ($\mu F$) for the final answer.

FINAL ANSWER: 159.15
UNIT: μF
",159.15,μF,False,0.8575218439102172,"{'raw_answer': '159.15', 'n_examples': 2}"
