record_id,q_idx,n_premises_nl,n_premises_used,premise_use_ratio,question,answer,answer_norm,is_mcq,is_yn,is_open,exp_words,n_cited_in_exp,cite_subset,has_numeric
0,0,14,1,0.07142857142857142,"Which conclusion follows with the fewest premises?
A. If a Python project is not optimized, then it is not well-tested
B. If all Python projects are optimized, then all Python projects are well-structured
C. If a Python project is well-tested, then it must be clean and readable
D. If a Python project is not optimized, then it does not follow PEP 8 standards",A,MCQ_A,True,False,False,71,1,True,True
0,1,14,2,0.14285714285714285,"Does it follow that if all Python projects are well-structured, then all Python projects are optimized, according to the premises?",Yes,Yes,False,True,False,31,2,True,False
1,0,11,9,0.8181818181818182,"Based on the above premises, which is the strongest conclusion?
A. Sophia qualifies for the university scholarship
B. Sophia needs a faculty recommendation to qualify for the scholarship
C. Sophia is eligible for the international program
D. Sophia needs to pass the language proficiency exam to get an honors diploma",C,MCQ_C,True,False,False,102,8,True,False
1,1,11,9,0.8181818181818182,"Does Sophia qualify for the university scholarship, according to the premises?",Yes,Yes,False,True,False,57,4,True,False
2,0,11,9,0.8181818181818182,"Based on the above premises, which conclusion is correct?
A. Sophia qualifies for the university scholarship
B. Sophia needs a faculty recommendation to qualify for the scholarship
C. Sophia is eligible for the international program
D. Sophia needs to pass the language proficiency exam to get an honors diploma",C,MCQ_C,True,False,False,101,8,True,False
2,1,11,9,0.8181818181818182,"Does Sophia qualify for the university scholarship, according to the premises?",Yes,Yes,False,True,False,57,4,True,False
3,0,7,7,1.0,"Based on the above premises, which conclusion logically follows?
A. John qualifies for the graduate fellowship program
B. John needs faculty recommendation for the fellowship
C. John must complete an internship to qualify
D. John’s GPA is insufficient for honors",A,MCQ_A,True,False,False,77,7,True,True
3,1,7,6,0.8571428571428571,"Does John receive academic distinction, according to the premises?",Yes,Yes,False,True,False,46,3,True,False
4,0,8,8,1.0,"Based on the premises, what is the correct conclusion about Professor John?
A. He can teach undergraduate courses but cannot supervise graduates
B. He can serve on curriculum committees but cannot propose courses
C. He can propose new courses
D. He needs more publications to serve on committees",C,MCQ_C,True,False,False,85,8,True,False
4,1,8,8,1.0,"Does Professor John meet all requirements to propose new courses, according to the premises?",Yes,Yes,False,True,False,55,4,True,False
5,0,8,8,1.0,"Based on the premises, what is the correct conclusion about Professor John?
A. He can access restricted archives but cannot submit proposals
B. He can apply for collaborative research projects
C. He needs more publications to access archives
D. He is eligible for extended library access but cannot apply for projects",B,MCQ_B,True,False,False,72,8,True,False
5,1,8,8,1.0,Does the logical chain demonstrate that Professor John meets all requirements for collaborative research projects?,Yes,Yes,False,False,True,46,0,True,False
6,0,8,6,0.75,"Based on the premises, what can we conclude about John’s qualifications?
A. John can transport hazardous materials but cannot cross state lines
B. John can cross state lines with hazardous cargo
C. John cannot transport hazardous materials
D. John is not qualified to transport any kind of goods",C,MCQ_C,True,False,False,81,4,True,False
6,1,8,8,1.0,"Does John meet all requirements to cross state lines with hazardous cargo, according to the premises?",No,No,False,True,False,69,4,True,False
